component	source_file	stored_file	sha256	provenance
icu_collections@2.3.0	LICENSE	files/f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2-LICENSE	f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2	Exact crate/package file or exact upstream commit evidence
icu_locale_core@2.3.0	LICENSE	files/f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2-LICENSE	f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2	Exact crate/package file or exact upstream commit evidence
icu_normalizer@2.3.0	LICENSE	files/f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2-LICENSE	f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2	Exact crate/package file or exact upstream commit evidence
icu_provider@2.3.1	LICENSE	files/f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2-LICENSE	f367c1b8e1aa262435251e442901da4607b4650e0e63a026f5044473ecfb90f2	Exact crate/package file or exact upstream commit evidence
idna@1.1.0	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
idna@1.1.0	LICENSE-MIT	files/b38f11f6096706e6de553dabe2a7ed142d59b6fa8c97e290c67496154745cdd5-LICENSE-MIT	b38f11f6096706e6de553dabe2a7ed142d59b6fa8c97e290c67496154745cdd5	Exact crate/package file or exact upstream commit evidence
infer@0.19.0	LICENSE	files/270b0d81891aa44c7e8726cf9432dade9556a01c848bacd2f3ef839c9c1a1859-LICENSE	270b0d81891aa44c7e8726cf9432dade9556a01c848bacd2f3ef839c9c1a1859	Exact crate/package file or exact upstream commit evidence
ipnet@2.12.2	LICENSE-APACHE	files/87d9feb9238c6bd8e0024fc4733b06cff036f89f36d93b7df1c8a0549bbb7a5b-LICENSE-APACHE	87d9feb9238c6bd8e0024fc4733b06cff036f89f36d93b7df1c8a0549bbb7a5b	Exact crate/package file or exact upstream commit evidence
ipnet@2.12.2	LICENSE-MIT	files/47dc9ff29128ddfb4d6a0435383c9f89120bc374dbcc1dd00b933a0b28aa7865-LICENSE-MIT	47dc9ff29128ddfb4d6a0435383c9f89120bc374dbcc1dd00b933a0b28aa7865	Exact crate/package file or exact upstream commit evidence
itoa@1.0.18	LICENSE-APACHE	files/62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE	62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a	Exact crate/package file or exact upstream commit evidence
